frame,time,reaction_progress,separation,max_devi_f,selected,matched_region
126,1.26,0.025512,0.001551,0.02146280,0,
127,1.27,0.022311,0.001029,0.02339064,0,
128,1.28,0.018308,0.000701,0.02302663,0,
129,1.29,0.021488,0.000885,0.02757634,0,
130,1.30,0.017551,0.000682,0.02615543,0,
131,1.31,0.016619,0.000503,0.02356606,0,
132,1.32,0.024560,0.000899,0.03064279,0,
133,1.33,0.022507,0.000855,0.03000840,0,
134,1.34,0.017543,0.000857,0.02226275,0,
135,1.35,0.014940,0.000862,0.02674305,0,
136,1.36,0.011552,0.000319,0.01881909,0,
137,1.37,0.013604,0.000464,0.02481224,0,
138,1.38,0.018372,0.000525,0.02273207,0,
139,1.39,0.019235,0.000684,0.02353915,0,
140,1.40,0.028047,0.003225,0.02730999,0,
141,1.41,0.046392,0.009715,0.03499453,0,
142,1.42,0.027693,0.003559,0.02335569,0,
143,1.43,0.023854,0.002109,0.02517547,0,
144,1.44,0.015518,0.000704,0.02061853,0,
145,1.45,0.013458,0.000251,0.02310449,0,
146,1.46,0.013014,0.000207,0.01796815,0,
147,1.47,0.013557,0.000304,0.02586429,0,
148,1.48,0.015569,0.000423,0.02424157,0,
149,1.49,0.027060,0.001927,0.01999695,0,
150,1.50,0.027757,0.002316,0.02159606,0,
151,1.51,0.043176,0.004790,0.02650088,0,
152,1.52,0.026798,0.001629,0.02228423,0,
153,1.53,0.022794,0.000558,0.02336303,0,
154,1.54,0.015406,0.000294,0.01977934,0,
155,1.55,0.018691,0.000651,0.02297707,0,
156,1.56,0.015018,0.000689,0.01776256,0,
157,1.57,0.009261,0.000227,0.01849292,0,
158,1.58,0.011427,0.000320,0.01819376,0,
159,1.59,0.013239,0.000336,0.02071189,0,
160,1.60,0.013694,0.000220,0.02089611,0,
161,1.61,0.017683,0.000768,0.02342458,0,
162,1.62,0.013233,0.000551,0.02027836,0,
163,1.63,0.900866,1.529703,0.05331458,1,long_separation_segment
164,1.64,0.479359,0.598038,0.05883975,1,short_separation_segment
165,1.65,0.035881,0.003567,0.03641053,0,
166,1.66,0.038187,0.004450,0.03611223,0,
167,1.67,0.014086,0.000655,0.02914757,0,
168,1.68,0.016143,0.000902,0.02172600,0,
169,1.69,0.015503,0.000940,0.02308137,0,
170,1.70,0.017910,0.001328,0.02587103,0,
171,1.71,0.016685,0.000993,0.02435884,0,
172,1.72,0.017011,0.001026,0.02203213,0,
173,1.73,0.015004,0.000898,0.01982828,0,
174,1.74,0.020879,0.001440,0.02446435,0,
175,1.75,0.019859,0.000959,0.02506209,0,
176,1.76,0.018095,0.000633,0.02358249,0,
177,1.77,0.019781,0.000993,0.02596067,0,
178,1.78,0.028880,0.001976,0.02473749,0,
179,1.79,0.052535,0.006536,0.03956363,0,
180,1.80,0.030384,0.002066,0.03734183,0,
181,1.81,0.020581,0.001358,0.03382987,0,
182,1.82,0.016527,0.000760,0.02102164,0,
183,1.83,0.014249,0.000556,0.02235131,0,
184,1.84,0.015577,0.000676,0.02245687,0,
185,1.85,0.012968,0.000770,0.02478306,0,
186,1.86,0.016285,0.000718,0.02197739,0,
